City,Code,Lon,Lat
Ft. Myers,US-FL,-81.782771,26.557582
W. Hartford,US-CT,-72.743994,41.780354
Columbus-OH,US-OH,-83.001565,39.948684
W. Pittston-PA,US-PA,-75.590173,43.154422
Quintana Roo-MX,MX-ROO,-86.905180,20.843989
Orleans-MA,US-MA,-69.986272,41.788076
St. Paul-MN,US-MN,-93.228298,44.887695
Madison-WI,US-WI,-89.338108,43.137923
Duluth-MN,US-MN,-92.191958,46.841729
Grantsburg-WI,US-WI,-92.700253,45.772183
Eagle River-WI,US-WI,-89.261214,45.928591
McAllen-TX,US-TX,-98.235339,26.205419
Glen Spey-NY,US-NY,-74.812167,41.478873
Zapata-TX,US-TX,-99.270802,26.902934
La Joya-TX,US-TX,-98.484489,26.902934
Seward-AK,US-AK,-149.440070,60.119963
