Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Black-bellied Whistling-Duck,4,Wild Turkey Strand Preserve,US-FL,29 Dec 2017,L1903106,S41410966
2,Fulvous Whistling-Duck,7,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
3,Canada Goose,7,"Interstate 10, Jacksonville, Florida, US (30.307, -81.877)",US-FL,18 Oct 2018,L8042458,S49269763
4,Mute Swan,2,Coconut Point Mall,US-FL,21 Jan 2018,L1328075,S42123842
5,Egyptian Goose,2,"8400-8452 Southwest 87th Avenue, Miami, Florida, US (25.692, -80.334)",US-FL,25 Feb 2018,L6985876,S43173835
6,Muscovy Duck,13,"4335-4345 Tufts Avenue, Fort Myers, Florida, US (26.599, -81.879)",US-FL,21 Jan 2018,L6756743,S42121430
7,Wood Duck,2,Six Mile Cypress Slough Preserve,US-FL,24 Jan 2018,L424819,S42208027
8,Blue-winged Teal,9,J. N. Ding Darling NWR--Wildlife Drive,US-FL,18 Oct 2017,L823147,S39995185
9,Cinnamon Teal,1,Merritt Island NWR--Black Point Wildlife Drive,US-FL,21 Jan 2019,L127381,S51898817
10,Northern Shoveler,2,Estero Bay Preserve SP--Winkler Point,US-FL,31 Dec 2017,L2589166,S41464521
11,American Wigeon,5,Estero Bay Preserve SP--Winkler Point,US-FL,31 Dec 2017,L2589166,S41464521
12,Mallard,1,"Daniels Parkway, Fort Myers, Florida, US (26.547, -81.827)",US-FL,08 Mar 2018,L7035392,S43476062
13,Mottled Duck,4,J. N. Ding Darling NWR--Wildlife Drive,US-FL,20 Aug 2017,L823147,S38729364
14,Northern Pintail,8,Lake Apopka Wildlife Drive,US-FL,20 Jan 2019,L298649,S51866010
15,Green-winged Teal,1,Wild Turkey Strand Preserve,US-FL,29 Dec 2017,L1903106,S41410966
16,Canvasback,1,Lake Apopka Wildlife Drive,US-FL,20 Jan 2019,L298649,S51866010
17,Redhead,2,Merritt Island NWR--Black Point Wildlife Drive,US-FL,24 Jan 2019,L127381,S52008777
18,Ring-necked Duck,4,Harns Marsh,US-FL,11 Nov 2017,L830108,S40438561
19,Greater Scaup,2,J. N. Ding Darling NWR,US-FL,18 Jan 2018,L127397,S42042049
20,Lesser Scaup,4,Estero Bay Preserve SP--Winkler Point,US-FL,11 Jan 2018,L2589166,S41816296
21,Common Eider,1,"100-198 Glen Cheek Drive, Port Canaveral, Florida, US (28.41, -80.606)",US-FL,19 May 2018,L7435631,S45841454
22,Surf Scoter,3,San Carlos Bay/Bunche Beach Preserve,US-FL,28 Jan 2019,L301036,S52136236
23,White-winged Scoter,1,Lynn Hall Memorial Park & Pier,US-FL,30 Jan 2018,L1331461,S42372458
24,Black Scoter,25,San Carlos Bay/Bunche Beach Preserve,US-FL,04 Jan 2019,L301036,S51294080
25,Long-tailed Duck,1,Shiloh Marsh,US-FL,25 Jan 2019,L8491061,S52039513
26,Bufflehead,6,Shiloh Marsh,US-FL,25 Jan 2019,L8491061,S52039513
27,Common Goldeneye,1,Chapel Hill Cemetery,US-FL,20 Jan 2019,L8393343,S51867818
