Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Red-crowned Parrot,120,Brownsville--Oliveira Park,US-TX,10 Oct 2019,L1918641,S60515219
2,Red-lored Parrot,10,Brownsville--Oliveira Park,US-TX,10 Oct 2019,L1918641,S60515219
3,White-fronted Parrot,20,Brownsville--Oliveira Park,US-TX,10 Oct 2019,L1918641,S60515219
4,White-tailed Hawk,2,Old Port Isabel Rd,US-TX,10 Oct 2019,L389757,S60505375
5,Aplomado Falcon,1,Cameron Co.--TX100--Aplomado Viewing Area,US-TX,10 Oct 2019,L3322724,S60510846
6,Chihuahuan Raven,28,Laredo Landfill,US-TX,09 Oct 2019,L1926120,S60481321
7,Red-billed Pigeon,6,Max A Mandel Golf Course,US-TX,09 Oct 2019,L3715748,S60479819
8,Audubon's Oriole,3,Salineño Wildlife Preserve (LTC 080),US-TX,08 Oct 2019,L129075,S60453102
9,Morelet's Seedeater,1,Salineño Wildlife Preserve (LTC 080),US-TX,08 Oct 2019,L129075,S60453102
10,Olive Sparrow,1,Santa Ana NWR (LTC 059),US-TX,07 Oct 2019,L129085,S60432282
11,Common Pauraque,1,Estero Llano Grande SP WBC (LTC 054),US-TX,07 Oct 2019,L259855,S60426434
12,Stilt Sandpiper,50,Estero Llano Grande SP WBC (LTC 054),US-TX,07 Oct 2019,L259855,S60426434
13,Green Kingfisher,2,Estero Llano Grande SP WBC (LTC 054),US-TX,07 Oct 2019,L259855,S60426434
14,Long-billed Thrasher,2,Estero Llano Grande SP WBC (LTC 054),US-TX,07 Oct 2019,L259855,S60426434
15,Buff-bellied Hummingbird,3,Frontera Audubon Center (LTC 058),US-TX,06 Oct 2019,L209876,S60404778
16,Northern Beardless-Tyrannulet,1,Frontera Audubon Center (LTC 058),US-TX,06 Oct 2019,L209876,S60404778
17,Clay-colored Thrush,9,Frontera Audubon Center (LTC 058),US-TX,06 Oct 2019,L209876,S60404778
18,Plain Chachalaca,7,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
19,White-tipped Dove,1,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
20,Golden-fronted Woodpecker,8,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
21,Great Kiskadee,7,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
22,Couch's Kingbird,7,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
23,Green Jay,13,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
24,Black-crested Titmouse,3,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
25,Altamira Oriole,1,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
26,Baird's Sandpiper,1,Sandy Point,US-CT,25 Sep 2019,L109233,S60102184
27,South Polar Skua,1,"(40.8959,-69.5293) - J",US-MA,22 Sep 2019,L9947957,S60066273
28,Red Phalarope,1,BBC Pelagic 22 Sep 2019 - leg I,US-MA,22 Sep 2019,L9950592,S60066280
29,White-faced Storm-Petrel,1,BBC Pelagic 22 Sep 2019 - leg G,US-MA,22 Sep 2019,L9950589,S60066291
30,Long-tailed Jaeger,1,BBC Pelagic 22 Sep 2019 - leg E,US-MA,22 Sep 2019,L9950577,S60195284
31,Bermuda Petrel,1,BBC Pelagic 21 Sep 2019 - leg K,US-MA,21 Sep 2019,L9950553,S60066325
32,Leach's Storm-Petrel,1,BBC Pelagic 21 Sep 2019 - leg G,US-MA,21 Sep 2019,L9950529,S60066336
33,Sabine's Gull,1,BBC Pelagic 21 Sep 2019 - leg A,US-MA,21 Sep 2019,L9953429,S60066360
34,American Golden-Plover,1,Milford Pt. (CT Audubon),US-CT,15 Sep 2019,L109216,S59823001
35,Black-headed Gull,1,Short Beach Park,US-CT,10 Sep 2019,L249800,S59659287
36,Buff-breasted Sandpiper,1,Hammonasset Beach SP--West End,US-CT,28 Aug 2019,L109205,S59328311
37,King Eider,1,Waterford Beach,US-CT,11 Jun 2019,L5604368,S57297239
38,Mississippi Kite,2,Nike Recreation Fields,US-CT,03 Jun 2019,L10105900,S61120528
39,Philadelphia Vireo,1,Petit Manan NWR--Hollingsworth Trail,US-ME,31 May 2019,L2911963,S56992041
40,Red Crossbill,9,Petit Manan NWR--Hollingsworth Trail,US-ME,31 May 2019,L2911963,S56992041
41,Bicknell's Thrush,1,Saddleback Mountain,US-ME,30 May 2019,L608589,S56897290
42,American Woodcock,1,Frances Slocum SP,US-PA,25 May 2019,L443823,S56716993
43,Wilson's Phalarope,1,Hammonasset Beach SP--West End,US-CT,23 May 2019,L109205,S56658550
44,Yellow Rail,1,"100 Coulter Street, Old Saybrook, Connecticut, US (41.297, -72.367)",US-CT,22 May 2019,L9324685,S56641351
45,Carolina Chickadee,2,"2905 North Monroe Street, Tallahassee, Florida, US (30.483, -84.306)",US-FL,02 May 2019,L9164799,S55686096
46,American Flamingo,1,St. Marks NWR--Stoney Bayou 2,US-FL,02 May 2019,L582780,S55680487
47,Bahama Mockingbird,1,Lantana Nature Preserve,US-FL,25 Apr 2019,L1293707,S55400945
48,Red-legged Thrush,1,Lantana Nature Preserve,US-FL,25 Apr 2019,L1293707,S55400945
49,Key West Quail-Dove,1,Dr. Von D. Mizell-Eula Johnson SP,US-FL,22 Apr 2019,L5744252,S55259950
50,Golden-winged Warbler,1,Point Ybel Lighthouse Beach Park,US-FL,21 Apr 2019,L127398,S55210235
51,Least Grebe,1,Peaceful Waters Sanctuary,US-FL,13 Apr 2019,L1017638,S54902974
