Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Black-bellied Whistling-Duck,28,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
2,Fulvous Whistling-Duck,5,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
3,Snow Goose,1,Broad Brook Mill Pond,US-CT,17 Nov 2019,L749009,S61526397
4,Greater White-fronted Goose,1,Broad Brook Mill Pond,US-CT,17 Nov 2019,L749009,S61526397
5,Brant,1,Milford Pt. (CT Audubon),US-CT,13 Aug 2019,L109216,S58976836
6,Cackling Goose,1,Broad Brook Mill Pond,US-CT,17 Nov 2019,L749009,S61526397
7,Canada Goose,2,"1611 North Monroe Street, Tallahassee, Florida, US (30.461, -84.281)",US-FL,02 May 2019,L9165623,S55691224
8,Mute Swan,2,Gulfstream Park Racing & Casino,US-FL,27 Mar 2019,L8548988,S54270177
9,Trumpeter Swan,2,Chase Retention Ponds,US-OH,19 Oct 2019,L2040538,S60740182
10,Egyptian Goose,5,Kendall-- Baptist Hospital Area,US-FL,16 Feb 2019,L251012,S52767375
11,Muscovy Duck,1,"2805 Colonial Boulevard, Fort Myers, Florida, US (26.6, -81.855)",US-FL,17 Jan 2019,L8446392,S51773317
12,Wood Duck,1,Six Mile Cypress Slough Preserve,US-FL,28 Jan 2019,L424819,S52130529
13,Blue-winged Teal,22,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
14,Cinnamon Teal,1,Merritt Island NWR--Black Point Wildlife Drive,US-FL,21 Jan 2019,L127381,S51898817
15,Northern Shoveler,2,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
16,Gadwall,1,Farmington River,US-CT,18 Jul 2019,L3168372,S58275663
17,American Wigeon,3,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
18,Mallard,5,Chapel Hill Cemetery,US-FL,20 Jan 2019,L8393343,S51867818
19,American Black Duck,1,Petit Manan NWR--Hollingsworth Trail,US-ME,31 May 2019,L2911963,S56992041
20,Mottled Duck,17,Shell Creek Preserve/Nellis Lane,US-FL,06 Jan 2019,L8381920,S51376513
21,Northern Pintail,8,Lake Apopka Wildlife Drive,US-FL,20 Jan 2019,L298649,S51866010
22,Green-winged Teal,1,Merritt Island NWR--Black Point Wildlife Drive,US-FL,21 Jan 2019,L127381,S51898817
